entity,slug,code,year,population,source_url
India,india,india,2025,1463865525,https://worldpopulationreview.com/countries/india
India,india,india,2026,1476625576,https://worldpopulationreview.com/countries/india
Indonesia,indonesia,indonesia,2024,283539962,https://worldpopulationreview.com/countries/indonesia
Indonesia,indonesia,indonesia,2025,285721236,https://worldpopulationreview.com/countries/indonesia
Indonesia,indonesia,indonesia,2026,287886782,https://worldpopulationreview.com/countries/indonesia
Iran,iran,iran,2024,91478833,https://worldpopulationreview.com/countries/iran
Iran,iran,iran,2025,92417681,https://worldpopulationreview.com/countries/iran
Iran,iran,iran,2026,93168497,https://worldpopulationreview.com/countries/iran
Iraq,iraq,iraq,2024,46039940,https://worldpopulationreview.com/countries/iraq
Iraq,iraq,iraq,2025,47020774,https://worldpopulationreview.com/countries/iraq
Iraq,iraq,iraq,2026,48007437,https://worldpopulationreview.com/countries/iraq
Ireland,ireland,ireland,2024,5242952,https://worldpopulationreview.com/countries/ireland
Ireland,ireland,ireland,2025,5308039,https://worldpopulationreview.com/countries/ireland
Ireland,ireland,ireland,2026,5356950,https://worldpopulationreview.com/countries/ireland
Isle Of Man,isle-of-man,isle-of-man,2024,84107,https://worldpopulationreview.com/countries/isle-of-man
Isle Of Man,isle-of-man,isle-of-man,2025,84118,https://worldpopulationreview.com/countries/isle-of-man
Isle Of Man,isle-of-man,isle-of-man,2026,84055,https://worldpopulationreview.com/countries/isle-of-man
Israel,israel,israel,2024,9373820,https://worldpopulationreview.com/countries/israel
Israel,israel,israel,2025,9517181,https://worldpopulationreview.com/countries/israel
Israel,israel,israel,2026,9647689,https://worldpopulationreview.com/countries/israel
Italy,italy,italy,2024,59299562,https://worldpopulationreview.com/countries/italy
Italy,italy,italy,2025,59146260,https://worldpopulationreview.com/countries/italy
Italy,italy,italy,2026,58926166,https://worldpopulationreview.com/countries/italy
Ivory Coast,ivory-coast,ivory-coast,2024,31952327,https://worldpopulationreview.com/countries/ivory-coast
