Entity,Code,Depopulation_Risk_Score,Depopulation_Category,Super_Aged_Risk_Score,Super_Aged_Category,Actual_Depopulation_Flag,Actual_Super_Aged_Flag
Portugal,PRT,0.8817,High Risk,1.0,Super-Aged Expected,1,1
Puerto Rico,PRI,0.9433,High Risk,1.0,Super-Aged Expected,1,1
Qatar,QAT,0.0006,Low Risk,0.2269,Non-Super-Aged,0,0
Reunion,REU,0.2628,Low Risk,1.0,Super-Aged Expected,0,1
Romania,ROU,0.9519,High Risk,1.0,Super-Aged Expected,1,1
Russia,RUS,0.7433,High Risk,0.9998,Super-Aged Expected,1,1
Rwanda,RWA,0.0002,Low Risk,0.0,Non-Super-Aged,0,0
Saint Barthelemy,BLM,0.0233,Low Risk,1.0,Super-Aged Expected,0,1
Saint Helena,SHN,0.9987,High Risk,1.0,Super-Aged Expected,1,1
Saint Kitts and Nevis,KNA,0.3443,Moderate Risk,0.689,Super-Aged Expected,0,1
Saint Lucia,LCA,0.2347,Low Risk,0.2337,Non-Super-Aged,0,1
Saint Martin (French part),MAF,1.0,High Risk,1.0,Super-Aged Expected,1,1
Saint Pierre and Miquelon,SPM,0.9964,High Risk,1.0,Super-Aged Expected,1,1
Saint Vincent and the Grenadines,VCT,0.9215,High Risk,0.1604,Non-Super-Aged,1,0
Samoa,WSM,0.0813,Low Risk,0.0,Non-Super-Aged,0,0
San Marino,SMR,0.7568,High Risk,1.0,Super-Aged Expected,0,1
Sao Tome and Principe,STP,0.0004,Low Risk,0.0,Non-Super-Aged,0,0
Saudi Arabia,SAU,0.0005,Low Risk,0.0008,Non-Super-Aged,0,0
Senegal,SEN,0.0001,Low Risk,0.0,Non-Super-Aged,0,0
Serbia,SRB,0.9725,High Risk,1.0,Super-Aged Expected,1,1
Seychelles,SYC,0.0027,Low Risk,0.0654,Non-Super-Aged,0,0
Sierra Leone,SLE,0.0003,Low Risk,0.0,Non-Super-Aged,0,0
Singapore,SGP,0.0676,Low Risk,0.9999,Super-Aged Expected,0,1
Sint Maarten (Dutch part),SXM,0.0239,Low Risk,1.0,Super-Aged Expected,0,1
Slovakia,SVK,0.7848,High Risk,1.0,Super-Aged Expected,1,1
Slovenia,SVN,0.8396,High Risk,1.0,Super-Aged Expected,1,1
Solomon Islands,SLB,0.0001,Low Risk,0.0,Non-Super-Aged,0,0
Somalia,SOM,0.0,Low Risk,0.0,Non-Super-Aged,0,0
South Africa,ZAF,0.007,Low Risk,0.0,Non-Super-Aged,0,0
South Korea,KOR,0.7199,High Risk,1.0,Super-Aged Expected,1,1
South Sudan,SSD,0.0002,Low Risk,0.0,Non-Super-Aged,0,0
Spain,ESP,0.7644,High Risk,1.0,Super-Aged Expected,1,1
Sri Lanka,LKA,0.103,Low Risk,0.7327,Super-Aged Expected,0,1
Sudan,SDN,0.0,Low Risk,0.0,Non-Super-Aged,0,0
Suriname,SUR,0.0236,Low Risk,0.0002,Non-Super-Aged,0,0
Sweden,SWE,0.2867,Low Risk,1.0,Super-Aged Expected,0,1
Switzerland,CHE,0.299,Low Risk,1.0,Super-Aged Expected,0,1
Syria,SYR,0.0,Low Risk,0.0,Non-Super-Aged,0,0
